type,title,effective,url
FIDE,FIDE Arbiters Manual,Jan-25,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDEArbitersManual.pdf
FIDE,FIDE Swiss Rules,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDESwissRules.pdf
FIDE,FIDE General Rules and Technical Recommendations for Tournaments,Mar-26,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDEGeneralRulesAndTechnicalRecommendationsForTournaments.pdf
FIDE,FIDE Online Chess Regulations,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDEOnlineChessRegulations.pdf
FIDE,FIDE Online Arena Anti-cheating Policy,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDEOnlineArenaAnticheatingpolicy.pdf
FIDE,FIDE Online Arena Rating Regulations,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDEOnlineArenaRatingRegulations.pdf
FIDE,FIDE Regulations for the Classification of Arbiters,Mar-26,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDERegulationsfortheClassificationofArbiters.pdf
FIDE,FIDE Regulations for the Titles of Arbiters,Mar-26,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDERegulationsfortheTitlesofArbiters.pdf
FIDE,FIDE Titles for the Lower Rating Band,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/FIDETitlesfortheLowerRatingBand.pdf
FIDE,Fide Online Chess Regulations,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/Fide-Online-Chess-Regulations1.pdf
FIDE,Handicapped Players,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/HandicappedPlayers.pdf
FIDE,Regulations for Play with Computers,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/RegulationsforPlaywithComputers.pdf
FIDE,Table for Direct Titles Effective,Jan-26,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/TableforDirectTitleseffective.pdf
FIDE,DGT XL clock,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/pdf/DGT_XL_clock.pdf
Magazine,Arbiter Magazine 7,Sep-18,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/magazine/ARBMagazine07.pdf
Magazine,Arbiter Magazine 6,Feb-18,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/magazine/ARBMagazine06.pdf
Magazine,Arbiter Magazine 5,Sep-17,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/magazine/ARBMagazine05.pdf
Magazine,Arbiter Magazine 4,Feb-17,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/magazine/ARBMagazine04.pdf
Magazine,Arbiter Magazine 3,Aug-16,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/magazine/ARBMagazine03.pdf
Magazine,Arbiter Magazine 2,Feb-16,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/magazine/ARBMagazine02.pdf
Magazine,Arbiter Magazine 1,Jul-15,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/magazine/ARBMagazine01.pdf
ICCF,ICCF Rules,2026,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/ICCF/2026ICCFRules.pdf
ICCF,Beginners guide to the revised ICCF rating system,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/ICCF/BeginnersguidetotherevisedICCFratingsystem.pdf
ICCF,Prediction Criterion System Rules and Guidelines,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/ICCF/PredictionCriterionSystemRulesandGuidelines.pdf
ICCF,Rating formulae for ICCF system,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/ICCF/RatingformulaeforICCFsystem.pdf
ICCF,Silli System Description,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/ICCF/SilliSystemDescription.pdf
ICCF,The ICCF Laws of Correspondence Chess,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/ICCF/THEICCFLAWSOFCORRESPONDENCECHESS.pdf
Case Studies,Arbiter's Case Studies,latest,https://raw.githubusercontent.com/mythrilh3ml0ck/ChessLounge/main/docs/FIDE/casestudies/ArbiterCaseStudies.pdf
